
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	0	06:29:30	*	$GPRMC,062935.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*61
	1	06:29:30	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	2	06:29:30	*	$GPGGA,062936.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*66
	3	06:29:31	*	$GPGSA,A,3,32,13,20,23,16,30,,,,,,,4.4,1.5,4.1*37
	4	06:29:31	*	$GPGSV,3,1,12,20,67,194,26,23,56,333,20,16,54,112,29,32,49,154,29*78
	5	06:29:31	*	$GPGSV,3,2,12,30,44,062,24,13,33,306,31,07,19,243,19,31,14,048,10*77
	6	06:29:31	*	$GPGSV,3,3,12,01,09,205,12,04,09,304,,03,05,134,,06,03,120,*7A
	7	06:29:31	*	$GPRMC,062936.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*62
	8	06:29:31	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	9	06:29:31	*	$GPGGA,062937.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*67
	10	06:29:31	*	$GPRMC,062937.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*63
	11	06:29:32	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	12	06:29:32	*	$GPGGA,062938.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*68
	13	06:29:33	*	$GPRMC,062938.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6C
	14	06:29:33	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	15	06:29:33	*	$GPGGA,062939.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*69
	16	06:29:33	*	$GPRMC,062939.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6D
	17	06:29:33	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	18	06:29:34	*	$GPGGA,062940.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*67
	19	06:29:35	*	$GPRMC,062940.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*63
	20	06:29:35	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	21	06:29:35	*	$GPGGA,062941.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*63
	22	06:29:36	*	$GPGSA,A,3,32,13,20,16,30,,,,,,,,6.2,2.0,5.9*3D
	23	06:29:36	*	$GPGSV,3,1,12,20,67,194,26,23,56,333,19,16,54,112,29,32,49,154,29*72
	24	06:29:36	*	$GPGSV,3,2,12,30,44,062,25,13,33,306,31,07,19,243,19,31,14,048,10*76
	25	06:29:36	*	$GPGSV,3,3,12,01,09,205,08,04,09,304,15,03,05,134,,06,03,120,*75
	26	06:29:36	*	$GPRMC,062941.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*62
	27	06:29:36	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	28	06:29:36	*	$GPGGA,062942.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*65
	29	06:29:36	*	$GPRMC,062942.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*61
	30	06:29:37	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	31	06:29:38	*	$GPGGA,062943.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*61
	32	06:29:38	*	$GPRMC,062943.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*60
	33	06:29:38	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	34	06:29:38	*	$GPGGA,062944.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*63
	35	06:29:38	*	$GPRMC,062944.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*67
	36	06:29:39	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	37	06:29:39	*	$GPGGA,062945.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*62
	38	06:29:40	*	$GPRMC,062945.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*66
	39	06:29:40	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	40	06:29:40	*	$GPGGA,062946.000,3334.5666,N,11739.7744,W,1,06,1.5,140.0,M,-34.4,M,,0000*61
	41	06:29:40	*	$GPGSA,A,3,32,13,20,23,16,30,,,,,,,4.4,1.5,4.1*37
	42	06:29:41	*	$GPGSV,3,1,12,20,67,194,27,23,56,333,18,16,54,112,27,32,49,154,28*7D
	43	06:29:41	*	$GPGSV,3,2,12,30,44,062,25,13,33,306,31,07,19,243,19,31,14,048,15*73
	44	06:29:41	*	$GPGSV,3,3,12,01,09,205,,04,09,304,16,03,05,134,,06,03,120,*7E
	45	06:29:41	*	$GPRMC,062946.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*65
	46	06:29:41	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
